"Identifier"	"Class"	"Order"	"Family"	"Genus"	"Species"	"Synonym"	"GSD_type"	"Sex_chromosome_karyotype"	"Size_difference"	"Larger_chromosome"	"Size_note"	"GSD_note"	"GSD_reference"	"TSD_type"	"TSD_type_detailed"	"Low_temperature_sex"	"Low_temperature_threshold"	"Intermediate_temperature_sex"	"High_temperature_sex"	"High_temperature_threshold"	"Thermal_sex_reversal_proven"	"TSD_note"	"TSD_reference"	"Sex_reversal_in_nature"	"Sex_reversal_reference"	"Polyploid"	"Polyploid_reference"	"Other_note"	"GSD_info_curated_by"	"TSD_info_curated_by"	"Taxonomy_reference"
"hsdA1.222"	"Reptilia"	"Squamata"	"Agamidae"	"Diporiphora"	"Diporiphora nobbi"	"Amphibolurus nobbi"	"ZW/ZZ"	"identified"					"[83], [134]"																"EN, Tree of Sex database"		"[383]"
"hsdA1.223"	"Reptilia"	"Squamata"	"Agamidae"	"Intellagama"	"Intellagama lesueurii"	"Physignathus lesueurii"								"FMF"	"F-M-F"	"female"	"25"	"male"	"female"	"29"			"[134]"							"EN, VB, Tree of Sex database"	"[383]"
"hsdA1.224"	"Reptilia"	"Squamata"	"Agamidae"	"Laudakia"	"Laudakia stellio"	"Agama stellio"								"FM ?"	"F?-M?"							"pattern 1b was suggested, but data of original report (breeding book) not accessible"	"[76]"							"VB, Tree of Sex database"	"[383]"
"hsdA1.225"	"Reptilia"	"Squamata"	"Agamidae"	"Lophognathus"	"Lophognathus gilberti"									"TSD uncertain"	"TSD uncertain"							"sample sizes too small for inferring a temperature effect"	"[134]"							"VB, Tree of Sex database"	"[383]"
"hsdA1.226"	"Reptilia"	"Squamata"	"Agamidae"	"Paralaudakia"	"Paralaudakia caucasia"	"Agama caucasia"								"FMF ?"	"F?-M?-F?"							"FMF pattern was suggested (El Mouden et al. 2001), but data of original report (breeding book) not accessible"	"[76]"							"VB, Tree of Sex database"	"[383]"
"hsdA1.227"	"Reptilia"	"Squamata"	"Agamidae"	"Phrynocephalus"	"Phrynocephalus vlangalii"		"ZW/ZZ"	"identified"					"[417]"																"Tree of Sex database"		"[383]"
"hsdA1.228"	"Reptilia"	"Squamata"	"Agamidae"	"Pogona"	"Pogona barbata"		"ZW/ZZ"	"identified"					"[83], [134]"																"EN, Tree of Sex database"		"[383]"
"hsdA1.229"	"Reptilia"	"Squamata"	"Agamidae"	"Pogona"	"Pogona vitticeps"		"ZW/ZZ"	"identified"					"[134]"	"MF ?"	"E-F"	"even"		"even"	"female"	"32"	"yes"	"lowest temperature tested was 22 degrees Celsius"	"[140]"	"ZZ females"	"[39], [140]"				"Tree of Sex database"	"EN, VB"	"[383]"
"hsdA1.230"	"Reptilia"	"Squamata"	"Agamidae"	"Tropicagama"	"Tropicagama temporalis"	"Lophognathus temporalis"								"FMF ?"	"F-E-F"	"female"	"27"	"even"	"female"	"33.2"		"32 degrees Celsius yielded 60% males (n=28, N.S.)"	"[134]"							"EN, VB, Tree of Sex database"	"[383]"
"hsdA1.231"	"Reptilia"	"Squamata"	"Anguidae"	"Abronia"	"Abronia lythrochila"		"ZW/ZZ"	"identified"				"based on relative gene dosage"	"[286], [306]"																"EN"		"[383]"
"hsdA1.232"	"Reptilia"	"Squamata"	"Anguidae"	"Elgaria"	"Elgaria multicarinata"	"Gerrhonotus multicarinatus"								"TSD uncertain"	"TSD uncertain"							"no sample sizes or hatchling sex ratios were given in the citation "	"[134]"							"VB, Tree of Sex database"	"[383]"
"hsdA1.233"	"Reptilia"	"Squamata"	"Bipedidae"	"Bipes"	"Bipes tridactylus"		"ZW/ZZ"	"identified"					"[46]"																"EN"		"[383]"
"hsdA1.234"	"Reptilia"	"Squamata"	"Boidae"	"Acrantophis"	"Acrantophis dumerili"		"ZW/ZZ"	"identified"				"polymorphism was noted in the Z chromosome of A.sp.cf. dumerili (Augstenova et al. 2018. https://doi.org/10.1111/evo.13543); \\Acrantophis dumereli\\ in Mengden, G.A., Stock, A.S. (1980) https://doi.org/10.1007/BF00328472"	"[10], [230]"																"VB, EN, Tree of Sex database"		"[383]"
"hsdA1.235"	"Reptilia"	"Squamata"	"Boidae"	"Boa"	"Boa constrictor"	"Boa constrictor amarili"	"XX/XY"						"[10]"																"VB, Tree of Sex database"		"[383]"
"hsdA1.236"	"Reptilia"	"Squamata"	"Boidae"	"Boa"	"Boa imperator"		"XX/XY"						"[88]"																"VB, EN"		"[383]"
"hsdA1.237"	"Reptilia"	"Squamata"	"Carphodactylidae"	"Nephrurus"	"Nephrurus amyae"		"ZW/ZZ"						"[11]"																"EN"		"[383]"
"hsdA1.238"	"Reptilia"	"Squamata"	"Carphodactylidae"	"Nephrurus"	"Nephrurus asper"		"ZW/ZZ"						"[11]"																"EN"		"[383]"
"hsdA1.239"	"Reptilia"	"Squamata"	"Carphodactylidae"	"Nephrurus"	"Nephrurus cinctus"		"ZW/ZZ"						"[11]"																"EN"		"[383]"
"hsdA1.240"	"Reptilia"	"Squamata"	"Carphodactylidae"	"Nephrurus"	"Nephrurus levis"		"ZW/ZZ"						"[11]"																"EN"		"[383]"
"hsdA1.241"	"Reptilia"	"Squamata"	"Carphodactylidae"	"Nephrurus"	"Nephrurus vertebralis"		"ZW/ZZ"						"[11]"																"EN"		"[383]"
"hsdA1.242"	"Reptilia"	"Squamata"	"Carphodactylidae"	"Saltuarius"	"Saltuarius cornutus"		"ZW/ZZ"						"[11]"																"EN"		"[383]"
"hsdA1.243"	"Reptilia"	"Squamata"	"Carphodactylidae"	"Saltuarius"	"Saltuarius kateae"		"ZW/ZZ"						"[11]"																"EN"		"[383]"
"hsdA1.244"	"Reptilia"	"Squamata"	"Carphodactylidae"	"Saltuarius"	"Saltuarius salebrosus"		"ZW/ZZ"						"[11]"																"EN"		"[383]"
"hsdA1.245"	"Reptilia"	"Squamata"	"Carphodactylidae"	"Saltuarius"	"Saltuarius wyberba"		"ZW/ZZ"						"[11]"																"EN"		"[383]"
"hsdA1.246"	"Reptilia"	"Squamata"	"Carphodactylidae"	"Underwoodisaurus"	"Underwoodisaurus milii"		"ZW/ZZ"	"identified"	"yes"	"W"			"[11], [287]"																"VB, EN"		"[383]"
"hsdA1.247"	"Reptilia"	"Squamata"	"Chamaeleonidae"	"Chamaeleo"	"Chamaeleo calyptratus"		"XX/XY"					"A previously described Y-specific marker mapped to chromosome 5."	"[15], [249], [380]"	"TSD uncertain"	"TSD uncertain"	"even"		"even"	"even"			"An interaction between egg size and temperature was also suggested. Small eggs produced mostly males at intermediate temperature (28 degrees Celsius) and females at both low (25 degrees Celsius) and high (30  degrees Celsius) temperatures, while the opposite pattern was found for large eggs (Andrews 2018 https://doi.org/10.1002/jez.2160)."	"[8], [15]"						"VB, EN"	"EN, VB"	"[383]"
"hsdA1.248"	"Reptilia"	"Squamata"	"Chamaeleonidae"	"Chamaeleo"	"Chamaeleo chamaeleon"		"XX/XY"	"identified"				"sex chromsosomes: the 2nd chr pair"	"[351]"	"TSD uncertain"	"TSD uncertain"							"27-29 degrees Celsius produced only females, other temperatures were not tested"	"[15]"						"EN"	"VB, Tree of Sex database"	"[383]"
"hsdA1.249"	"Reptilia"	"Squamata"	"Chamaeleonidae"	"Furcifer"	"Furcifer lateralis"	"Chamaeleo lateralis"								"TSD uncertain"	"TSD uncertain"							"data from breeding book not accessible"	"[134]"							"VB, Tree of Sex database"	"[383]"
"hsdA1.250"	"Reptilia"	"Squamata"	"Chamaeleonidae"	"Furcifer"	"Furcifer oustaleti"		"ZW/ZZ"	"identified"	"yes"	"W"		"heteromorphic sex chromosomes with heterochromatic W"	"[303]"																"VB, EN"		"[383]"
"hsdA1.251"	"Reptilia"	"Squamata"	"Chamaeleonidae"	"Furcifer"	"Furcifer pardalis"		"complex ZW/ZZ"	"identified"				"Z1Z1Z2Z2/Z1Z2W system"	"[303]"																"VB"		"[383]"
"hsdA1.252"	"Reptilia"	"Squamata"	"Colubridae"	"Ahaetulla"	"Ahaetulla nasuta"	"Dryophis nasutus"	"ZW/ZZ"	"identified"					"[345], [355]"																"Tree of Sex database"		"[383]"
"hsdA1.253"	"Reptilia"	"Squamata"	"Colubridae"	"Amphiesma"	"Amphiesma stolatum"	"Natrix stolatum; Natrix stolata"	"ZW/ZZ"	"identified"	"yes"	"Z"			"[290], [358]"																"EN, Tree of Sex database"		"[383]"
"hsdA1.254"	"Reptilia"	"Squamata"	"Colubridae"	"Bogertophis"	"Bogertophis subocularis"	"Elaphe subocularis"	"ZW/ZZ"	"identified"	"yes"	"W"	"W is almost twice the size of Z"		"[13], [230]"																"EN, Tree of Sex database"		"[383]"
"hsdA1.255"	"Reptilia"	"Squamata"	"Colubridae"	"Boiga"	"Boiga dendrophila"		"ZW/ZZ"					"based on relative gene dosage"	"[308]"																"EN"		"[383]"
"hsdA1.256"	"Reptilia"	"Squamata"	"Colubridae"	"Boiga"	"Boiga forsteni"		"ZW/ZZ"	"identified"	"yes"	"W"			"[290], [358]"																"EN, Tree of Sex database"		"[383]"
"hsdA1.257"	"Reptilia"	"Squamata"	"Colubridae"	"Boiga"	"Boiga trigonata"		"ZW/ZZ"	"identified"	"yes"	"W"			"[290], [358]"																"EN, Tree of Sex database"		"[383]"
"hsdA1.258"	"Reptilia"	"Squamata"	"Colubridae"	"Chironius"	"Chironius bicarinatus"		"ZW/ZZ"	"identified"					"[18]"																"Tree of Sex database"		"[383]"
"hsdA1.259"	"Reptilia"	"Squamata"	"Colubridae"	"Chironius"	"Chironius quadricarinatus"		"ZW/ZZ"	"identified"					"[24]"																"Tree of Sex database"		"[383]"
"hsdA1.260"	"Reptilia"	"Squamata"	"Colubridae"	"Chrysopelea"	"Chrysopelea ornata"		"ZW/ZZ"	"identified"					"[345]"																"Tree of Sex database"		"[383]"
"hsdA1.261"	"Reptilia"	"Squamata"	"Colubridae"	"Chrysopelea"	"Chrysopelea paradisi"		"ZW/ZZ"					"based on relative gene dosage"	"[308]"																"EN"		"[383]"
"hsdA1.262"	"Reptilia"	"Squamata"	"Colubridae"	"Clelia"	"Clelia clelia"	"Clelia (occipitolutea) clelia"	"ZW/ZZ"	"identified"					"[18]"																"Tree of Sex database"		"[383]"
"hsdA1.263"	"Reptilia"	"Squamata"	"Colubridae"	"Clelia"	"Clelia plumbea"	"Clelia clelia plumbea"	"ZW/ZZ"	"identified"					"[20]"																"Tree of Sex database"		"[383]"
"hsdA1.264"	"Reptilia"	"Squamata"	"Colubridae"	"Coelognathus"	"Coelognathus radiatus"	"Elaphe radiata"	"ZW/ZZ"	"identified"	"no"				"[356], [359]"																"EN, Tree of Sex database"		"[383]"
"hsdA1.265"	"Reptilia"	"Squamata"	"Colubridae"	"Dendrelaphis"	"Dendrelaphis punctulatus"	"Dendrelaphis (punctatus) punctulata"	"ZW/ZZ"	"identified"					"[229]"																"Tree of Sex database"		"[383]"
"hsdA1.266"	"Reptilia"	"Squamata"	"Colubridae"	"Dolichophis"	"Dolichophis caspius"		"ZW/ZZ"					"based on relative gene dosage"	"[308]"																"EN"		"[383]"
"hsdA1.267"	"Reptilia"	"Squamata"	"Colubridae"	"Dolichophis"	"Dolichophis jugularis"		"ZW/ZZ"					"based on relative gene dosage"	"[308]"																"EN"		"[383]"
"hsdA1.268"	"Reptilia"	"Squamata"	"Colubridae"	"Drymarchon"	"Drymarchon corais"	"Drymarchon corais corais"	"ZW/ZZ"	"identified"					"[18]"																"Tree of Sex database"		"[383]"
"hsdA1.269"	"Reptilia"	"Squamata"	"Colubridae"	"Drymarchon"	"Drymarchon couperi"	"Drymarchon corais couperi"	"ZW/ZZ"	"identified"					"[23]"																"Tree of Sex database"		"[383]"
"hsdA1.270"	"Reptilia"	"Squamata"	"Colubridae"	"Elaphe"	"Elaphe climacophora"		"ZW/ZZ"	"identified"					"[152]"																"Tree of Sex database"		"[383]"
"hsdA1.271"	"Reptilia"	"Squamata"	"Colubridae"	"Elaphe"	"Elaphe quadrivirgata"		"ZW/ZZ"	"identified"					"[152]"																"Tree of Sex database"		"[383]"
"hsdA1.272"	"Reptilia"	"Squamata"	"Colubridae"	"Erythrolamprus"	"Erythrolamprus almadensis"	"Liophis almadensis"	"ZW/ZZ"	"identified"					"[26]"																"Tree of Sex database"		"[383]"
"hsdA1.273"	"Reptilia"	"Squamata"	"Colubridae"	"Erythrolamprus"	"Erythrolamprus miliaris"	"Liophis miliaris"	"ZW/ZZ"	"identified"					"[24]"																"Tree of Sex database"		"[383]"
"hsdA1.274"	"Reptilia"	"Squamata"	"Colubridae"	"Euprepiophis"	"Euprepiophis conspicillata"	"Elaphe conspicillata"	"ZW/ZZ"	"identified"					"[382]"																"Tree of Sex database"		"[383]"
"hsdA1.275"	"Reptilia"	"Squamata"	"Colubridae"	"Fowlea"	"Fowlea piscator"	"Xenochrophis piscator; Natrix piscator"	"ZW/ZZ"	"identified"					"[352], [359]"																"EN, Tree of Sex database"		"[383]"
"hsdA1.276"	"Reptilia"	"Squamata"	"Colubridae"	"Geophis"	"Geophis omiltemanus"		"ZW/ZZ"	"identified"					"[133]"																"Tree of Sex database"		"[383]"
"hsdA1.277"	"Reptilia"	"Squamata"	"Colubridae"	"Hebius"	"Hebius pryeri"	"Amphiesma pryeri"	"ZW/ZZ"	"identified"					"[382]"																"Tree of Sex database"		"[383]"
"hsdA1.278"	"Reptilia"	"Squamata"	"Colubridae"	"Hebius"	"Hebius vibakari"	"Amphiesma vibakari"	"ZW/ZZ"	"identified"					"[382]"																"Tree of Sex database"		"[383]"
"hsdA1.279"	"Reptilia"	"Squamata"	"Colubridae"	"Hemorrhois"	"Hemorrhois nummifer"		"ZW/ZZ"					"based on relative gene dosage"	"[308]"																"EN"		"[383]"
"hsdA1.280"	"Reptilia"	"Squamata"	"Colubridae"	"Hydromorphus"	"Hydromorphus concolor"		"ZW/ZZ"	"identified"					"[363]"																"Tree of Sex database"		"[383]"
"hsdA1.281"	"Reptilia"	"Squamata"	"Colubridae"	"Lampropeltis"	"Lampropeltis triangulum"		"ZW/ZZ"					"based on relative gene dosage"	"[308]"																"EN"		"[383]"
"hsdA1.282"	"Reptilia"	"Squamata"	"Colubridae"	"Leptodeira"	"Leptodeira annulata"		"ZW/ZZ"					"based on relative gene dosage"	"[308]"																"EN"		"[383]"
"hsdA1.283"	"Reptilia"	"Squamata"	"Colubridae"	"Lycodon"	"Lycodon aulicus"		"ZW/ZZ"	"identified"	"yes"	"Z"			"[242], [358]"																"EN, Tree of Sex database"		"[383]"
"hsdA1.284"	"Reptilia"	"Squamata"	"Colubridae"	"Lycodon"	"Lycodon fasciolatus"	"Argyrogena fasciolata; Coluber fasciolata"	"ZW/ZZ"	"identified"	"no"				"[290], [358]"																"EN, Tree of Sex database"		"[383]"
"hsdA1.285"	"Reptilia"	"Squamata"	"Colubridae"	"Lycodon"	"Lycodon semicarinatus"	"Dinodon semicarinatum"	"ZW/ZZ"	"identified"					"[382]"																"Tree of Sex database"		"[383]"
"hsdA1.286"	"Reptilia"	"Squamata"	"Colubridae"	"Macroprotodon"	"Macroprotodon cucullatus"		"ZW/ZZ"					"based on relative gene dosage"	"[308]"																"EN"		"[383]"
"hsdA1.287"	"Reptilia"	"Squamata"	"Colubridae"	"Natrix"	"Natrix maura"		"ZW/ZZ"	"identified"					"[178]"																"Tree of Sex database"		"[383]"
"hsdA1.288"	"Reptilia"	"Squamata"	"Colubridae"	"Natrix"	"Natrix natrix"		"ZW/ZZ"	"identified"					"[178]"																"Tree of Sex database"		"[383]"
"hsdA1.289"	"Reptilia"	"Squamata"	"Colubridae"	"Natrix"	"Natrix tessellata"	"Natrix tessellata tessellata"	"ZW/ZZ"	"identified"					"[59], [178], [308]"																"EN, Tree of Sex database"		"[383]"
"hsdA1.290"	"Reptilia"	"Squamata"	"Colubridae"	"Oxyrhopus"	"Oxyrhopus petolarius"	"Oxyrhopus petola"	"ZW/ZZ"	"identified"					"[19]"																"Tree of Sex database"		"[383]"
"hsdA1.291"	"Reptilia"	"Squamata"	"Colubridae"	"Palusophis"	"Palusophis bifossatus"	"Mastigodryas bifossatus bifossatus"	"ZW/ZZ"	"identified"					"[18]"																"Tree of Sex database"		"[383]"
"hsdA1.292"	"Reptilia"	"Squamata"	"Colubridae"	"Pantherophis"	"Pantherophis guttatus"	"Elaphe guttata"	"ZW/ZZ"	"identified"				"based on relative gene dosage"	"[13], [308]"																"EN, Tree of Sex database"		"[383]"
"hsdA1.293"	"Reptilia"	"Squamata"	"Colubridae"	"Pantherophis"	"Pantherophis obsoletus"	"Elaphe obsoleta; Elaphe obsoleta lindhiemeri"	"ZW/ZZ"	"identified"					"[59], [230]"																"Tree of Sex database"		"[383]"
"hsdA1.294"	"Reptilia"	"Squamata"	"Colubridae"	"Philodryas"	"Philodryas aestiva"	"Philodryas aestivus"	"ZW/ZZ"	"identified"					"[19]"																"Tree of Sex database"		"[383]"
"hsdA1.295"	"Reptilia"	"Squamata"	"Colubridae"	"Philodryas"	"Philodryas chamissonis"		"ZW/ZZ"	"identified"					"[237]"																"Tree of Sex database"		"[383]"
"hsdA1.296"	"Reptilia"	"Squamata"	"Colubridae"	"Philodryas"	"Philodryas olfersii"		"ZW/ZZ"	"identified"					"[18]"																"Tree of Sex database"		"[383]"
"hsdA1.297"	"Reptilia"	"Squamata"	"Colubridae"	"Philodryas"	"Philodryas patagoniensis"		"ZW/ZZ"	"identified"					"[19]"																"Tree of Sex database"		"[383]"
"hsdA1.298"	"Reptilia"	"Squamata"	"Colubridae"	"Platyceps"	"Platyceps collaris"		"ZW/ZZ"					"based on relative gene dosage"	"[308]"																"EN"		"[383]"
"hsdA1.299"	"Reptilia"	"Squamata"	"Colubridae"	"Pseudagkistrodon"	"Pseudagkistrodon rudis"	"Macropisthodon rudis carinatus"	"ZW/ZZ"	"identified"					"[242]"																"Tree of Sex database"		"[383]"
"hsdA1.300"	"Reptilia"	"Squamata"	"Colubridae"	"Pseudoboa"	"Pseudoboa nigra"		"ZW/ZZ"	"identified"					"[26]"																"Tree of Sex database"		"[383]"
"hsdA1.301"	"Reptilia"	"Squamata"	"Colubridae"	"Ptyas"	"Ptyas mucosa"	"Ptyas mucosus"	"ZW/ZZ"	"identified"					"[290], [359]"																"EN, Tree of Sex database"		"[383]"
"hsdA1.302"	"Reptilia"	"Squamata"	"Colubridae"	"Rhabdophis"	"Rhabdophis tigrinus"	"Rhabdophis tigrinus tigrinus"	"ZW/ZZ"	"identified"					"[152]"																"Tree of Sex database"		"[383]"
"hsdA1.303"	"Reptilia"	"Squamata"	"Colubridae"	"Rhachidelus"	"Rhachidelus brazili"		"ZW/ZZ"	"identified"					"[26]"																"Tree of Sex database"		"[383]"
"hsdA1.304"	"Reptilia"	"Squamata"	"Colubridae"	"Spilotes"	"Spilotes pullatus"		"ZW/ZZ"	"identified"					"[18]"																"Tree of Sex database"		"[383]"
"hsdA1.305"	"Reptilia"	"Squamata"	"Colubridae"	"Storeria"	"Storeria dekayi"		"ZW/ZZ"	"identified"					"[14]"																"Tree of Sex database"		"[383]"
"hsdA1.306"	"Reptilia"	"Squamata"	"Colubridae"	"Telescopus"	"Telescopus fallax"		"ZW/ZZ"					"based on relative gene dosage"	"[308]"																"EN"		"[383]"
"hsdA1.307"	"Reptilia"	"Squamata"	"Colubridae"	"Thamnodynastes"	"Thamnodynastes hypoconia"		"ZW/ZZ"	"identified"					"[19]"																"Tree of Sex database"		"[383]"
"hsdA1.308"	"Reptilia"	"Squamata"	"Colubridae"	"Thamnodynastes"	"Thamnodynastes strigatus"		"ZW/ZZ"	"identified"					"[19]"																"Tree of Sex database"		"[383]"
"hsdA1.309"	"Reptilia"	"Squamata"	"Colubridae"	"Thamnophis"	"Thamnophis marcianus"		"ZW/ZZ"	"identified"					"[230]"																"Tree of Sex database"		"[383]"
"hsdA1.310"	"Reptilia"	"Squamata"	"Colubridae"	"Tomodon"	"Tomodon dorsatus"		"ZW/ZZ"	"identified"					"[24]"																"Tree of Sex database"		"[383]"
"hsdA1.311"	"Reptilia"	"Squamata"	"Colubridae"	"Trimerodytes"	"Trimerodytes annularis"	"Sinonatrix annularis; Natrix annularis"	"ZW/ZZ"	"identified"					"[298]"																"Tree of Sex database"		"[383]"
"hsdA1.312"	"Reptilia"	"Squamata"	"Colubridae"	"Trimerodytes"	"Trimerodytes percarinatus"	"Sinonatrix percarinata"	"ZW/ZZ"	"identified"					"[298]"																"Tree of Sex database"		"[383]"
"hsdA1.313"	"Reptilia"	"Squamata"	"Colubridae"	"Tropidodryas"	"Tropidodryas serra"		"ZW/ZZ"	"identified"					"[19]"																"Tree of Sex database"		"[383]"
"hsdA1.314"	"Reptilia"	"Squamata"	"Colubridae"	"Tropidonophis"	"Tropidonophis mairii"	"Amphiesma mairii"	"ZW/ZZ"	"identified"					"[228]"																"Tree of Sex database"		"[383]"
"hsdA1.315"	"Reptilia"	"Squamata"	"Colubridae"	"Xenodon"	"Xenodon merremii"	"Xenodon merremi; Waglerophis merremii"	"ZW/ZZ"	"identified"					"[18]"																"Tree of Sex database"		"[383]"
"hsdA1.316"	"Reptilia"	"Squamata"	"Colubridae"	"Xenodon"	"Xenodon neuwiedii"		"ZW/ZZ"	"identified"					"[19]"																"Tree of Sex database"		"[383]"
"hsdA1.317"	"Reptilia"	"Squamata"	"Colubridae"	"Zamenis"	"Zamenis longissimus"	"Elaphe longissima"	"ZW/ZZ"	"identified"					"[59], [308]"																"EN, Tree of Sex database"		"[383]"
"hsdA1.318"	"Reptilia"	"Squamata"	"Colubridae"	"Zamenis"	"Zamenis scalaris"	"Rhinechis scalaris"	"ZW/ZZ"					"based on relative gene dosage"	"[308]"																"EN"		"[383]"
"hsdA1.319"	"Reptilia"	"Squamata"	"Colubridae"	"Zamenis"	"Zamenis situla"		"ZW/ZZ"					"based on relative gene dosage"	"[308]"																"EN"		"[383]"
"hsdA1.320"	"Reptilia"	"Squamata"	"Corytophanidae"	"Basiliscus"	"Basiliscus vittatus"		"XX/XY"						"[251]"			"even"		"even"	"even"		"no"	"No thermal-induced sex reversal within the 26-32 degrees Celsius range."	"[373]"						"VB"	"EN, VB"	"[383]"
"hsdA1.321"	"Reptilia"	"Squamata"	"Crotaphytidae"	"Crotaphytus"	"Crotaphytus collaris"		"XX/XY"						"[402]"	"MFM ?"	"M?-F?-M?"	"male?"	"27"	"female?"	"male?"	"35"		"Low sample sizes, but a MFM trend was observable. Sex ratios did not differ significantly from 1:1; authors admit the possibility of sex-dependent mortality."	"[315], [401]"						"EN"	"EN, VB"	"[383]"
"hsdA1.322"	"Reptilia"	"Squamata"	"Crotaphytidae"	"Crotaphytus"	"Crotaphytus insularis"		"XX/XY"					"based on relative gene dosage"	"[304]"																"EN"		"[383]"
"hsdA1.323"	"Reptilia"	"Squamata"	"Dactyloidae"	"Anolis"	"Anolis acutus"		"complex XX/XY"	"identified"				"X1X2Y"	"[109]"																"Tree of Sex database"		"[383]"
"hsdA1.324"	"Reptilia"	"Squamata"	"Dactyloidae"	"Anolis"	"Anolis bimaculatus"		"complex XX/XY"	"identified"				"X1X2Y"	"[102]"																"Tree of Sex database"		"[383]"
"hsdA1.325"	"Reptilia"	"Squamata"	"Dactyloidae"	"Anolis"	"Anolis biporcatus"	"Norops biporcatus"	"complex XX/XY"	"identified"				"X1X1X2X2 / X1X2Y"	"[104], [108]"																"EN, Tree of Sex database"		"[383]"
"hsdA1.326"	"Reptilia"	"Squamata"	"Dactyloidae"	"Anolis"	"Anolis carolinensis"		"XX/XY"	"identified"					"[304], [391]"																"EN, Tree of Sex database"		"[383]"
"hsdA1.327"	"Reptilia"	"Squamata"	"Dactyloidae"	"Anolis"	"Anolis conspersus"		"XX/XY"	"identified"					"[99]"																"Tree of Sex database"		"[383]"
"hsdA1.328"	"Reptilia"	"Squamata"	"Dactyloidae"	"Anolis"	"Anolis cooki"		"complex XX/XY"	"identified"				"X1X2Y"	"[105]"																"Tree of Sex database"		"[383]"
"hsdA1.329"	"Reptilia"	"Squamata"	"Dactyloidae"	"Anolis"	"Anolis cristatellus"	"Anolis cristatellus wyleyae"	"complex XX/XY"	"identified"				"X1X2Y"	"[105]"																"Tree of Sex database"		"[383]"
"hsdA1.330"	"Reptilia"	"Squamata"	"Dactyloidae"	"Anolis"	"Anolis distichus"		"complex XX/XY"	"identified"				"X1X2Y"	"[100]"																"Tree of Sex database"		"[383]"
"hsdA1.331"	"Reptilia"	"Squamata"	"Dactyloidae"	"Anolis"	"Anolis evermanni"		"XX/XY"	"identified"					"[104]"																"Tree of Sex database"		"[383]"
"hsdA1.332"	"Reptilia"	"Squamata"	"Dactyloidae"	"Anolis"	"Anolis ferreus"		"complex XX/XY"	"identified"				"X1X2Y"	"[100]"																"Tree of Sex database"		"[383]"
"hsdA1.333"	"Reptilia"	"Squamata"	"Dactyloidae"	"Anolis"	"Anolis gingivinus"		"complex XX/XY"	"identified"				"X1X2Y"	"[100]"																"Tree of Sex database"		"[383]"
"hsdA1.334"	"Reptilia"	"Squamata"	"Dactyloidae"	"Anolis"	"Anolis grahami"		"XX/XY"	"identified"					"[104]"																"Tree of Sex database"		"[383]"
"hsdA1.335"	"Reptilia"	"Squamata"	"Dactyloidae"	"Anolis"	"Anolis gundlachi"		"XX/XY"	"identified"					"[104]"																"Tree of Sex database"		"[383]"
"hsdA1.336"	"Reptilia"	"Squamata"	"Dactyloidae"	"Anolis"	"Anolis krugi"		"XX/XY"	"identified"					"[104]"																"Tree of Sex database"		"[383]"
"hsdA1.337"	"Reptilia"	"Squamata"	"Dactyloidae"	"Anolis"	"Anolis leachii"		"complex XX/XY"	"identified"				"X1X2Y"	"[100]"																"Tree of Sex database"		"[383]"
"hsdA1.338"	"Reptilia"	"Squamata"	"Dactyloidae"	"Anolis"	"Anolis marmoratus"		"complex XX/XY"	"identified"				"X1X2Y"	"[100]"																"Tree of Sex database"		"[383]"
"hsdA1.339"	"Reptilia"	"Squamata"	"Dactyloidae"	"Anolis"	"Anolis monensis"		"complex XX/XY"	"identified"				"X1X2Y"	"[112]"																"Tree of Sex database"		"[383]"
"hsdA1.340"	"Reptilia"	"Squamata"	"Dactyloidae"	"Anolis"	"Anolis nebulosus"		"XX/XY"	"identified"					"[104]"																"Tree of Sex database"		"[383]"
"hsdA1.341"	"Reptilia"	"Squamata"	"Dactyloidae"	"Anolis"	"Anolis oculatus"		"complex XX/XY"	"identified"				"X1X2Y; some authors reported XX/XY system"	"[104], [111]"																"Tree of Sex database"		"[383]"
"hsdA1.342"	"Reptilia"	"Squamata"	"Dactyloidae"	"Anolis"	"Anolis onca"	"Norops onca; Tropidodactylus onca"	"XX/XY"	"identified"					"[103]"																"Tree of Sex database"		"[383]"
"hsdA1.343"	"Reptilia"	"Squamata"	"Dactyloidae"	"Anolis"	"Anolis opalinus"		"XX/XY"	"identified"					"[104]"																"Tree of Sex database"		"[383]"
"hsdA1.344"	"Reptilia"	"Squamata"	"Dactyloidae"	"Anolis"	"Anolis poncensis"		"XX/XY"	"identified"					"[104]"																"Tree of Sex database"		"[383]"
"hsdA1.345"	"Reptilia"	"Squamata"	"Dactyloidae"	"Anolis"	"Anolis pulchellus"		"complex XX/XY"	"identified"				"X1X2Y"	"[105]"																"Tree of Sex database"		"[383]"
"hsdA1.346"	"Reptilia"	"Squamata"	"Dactyloidae"	"Anolis"	"Anolis sabanus"		"complex XX/XY"	"identified"				"X1X2Y"	"[109]"																"Tree of Sex database"		"[383]"
"hsdA1.347"	"Reptilia"	"Squamata"	"Dactyloidae"	"Anolis"	"Anolis sagrei"		"XX/XY"	"identified"	"yes"	"X"		"large, heteromorphic sex chromosomes (multple fusions were suggested)"	"[96]"																"EN"		"[383]"
